Action(SiteID=UK|Country=GB|Currency=GBP|Version=941|CC=ISO-8859-1),ItemID,TransactionID,ShippingStatus,ShippingCarrierUsed,ShipmentTrackingNumber
Status,153791513850,2132361309005,1,AnPost,LX878351077IE
Status,163032246900,2108766458006,1,AnPost,LX878351085IE
Status,164148514432,2108689679006,1,AnPost,CP087929644IE
Status,153604722376,2132190024005,1,AnPost,CA072567820IE
Status,164459289099,2108609392006,1,AnPost,CA072567833IE
Status,153516224086,2132075821005,1,AnPost,LX878351094IE
Status,153517638333,2132035210005,1,AnPost,LX878351103IE
