Consignee_Contact_Name,Domestic_Barcode,Country_Code,DespatchDate,Batch_No,
----------------------------------------------------------------------------------------------------

702-1726966-0791422,LX878373452IE,CA,20210419,20210419ca,
701-0358316-1617839,LX878373245IE,CA,20210419,20210419ca,
111-3958958-7910614,LX878373642IE,CA,20210419,20210419us,
702-1142583-3437855,LX878373449IE,CA,20210419,20210419ca,
701-2183211-9197050,LX878373435IE,CA,20210419,20210419ca,
702-0366373-5353036,LX878373421IE,CA,20210419,20210419ca,
702-3439806-7905824,LX878373418IE,CA,20210419,20210419ca,
702-1142583-3437855,LX878373404IE,CA,20210419,20210419ca,
702-8279174-8319442,LX878373395IE,CA,20210419,20210419ca,
702-8279174-8319442,LX878373381IE,CA,20210419,20210419ca,
406-2915067-5657107,LX878373510IE,IT,20210419,20210419UK,
702-1720831-3115416,LX878373506IE,CA,20210419,20210419ca,
702-9906284-9541826,LX878373497IE,CA,20210419,20210419ca,
702-8936729-3490617,LX878373483IE,CA,20210419,20210419ca,
05-06930-76010,LX878373660IE,US,20210419,20210419eb,
701-5898322-5234617,LX878373320IE,CA,20210419,20210419ca,
702-7294187-2241822,LX878373259IE,CA,20210419,20210419ca,
702-9737871-5599400,LX878373262IE,CA,20210419,20210419ca,
702-0005090-5006644,LX878373276IE,CA,20210419,20210419ca,
702-9836544-9557001,LX878373280IE,CA,20210419,20210419ca,
702-5519563-1197033,LX878373293IE,CA,20210419,20210419ca,
702-8018201-9619422,LX878373470IE,CA,20210419,20210419ca,
701-0051832-8468255,LX878373316IE,CA,20210419,20210419ca,
702-2224296-7602618,LX878373466IE,CA,20210419,20210419ca,
701-5898322-5234617,LX878373333IE,CA,20210419,20210419ca,
701-1898641-0913041,LX878373347IE,CA,20210419,20210419ca,
701-1898641-0913041,LX878373355IE,CA,20210419,20210419ca,
701-1756198-4152235,LX878373364IE,US,20210419,20210419ca,
701-1756198-4152235,LX878373378IE,US,20210419,20210419ca,
01-06929-99314,LX878373673IE,US,20210419,20210419eb,
702-5519563-1197033,LX878373302IE,CA,20210419,20210419ca,
407-1649156-4738764,CA072571943IE,IT,20210419,20210419UK,
26-06922-97936,LX878373758IE,US,20210419,20210419eb,
22-06924-31471,LX878373744IE,US,20210419,20210419eb,
03-06927-59210,CP087930015IE,IE,20210419,20210419eb,
01-06928-16542,LX878373735IE,NO,20210419,20210419eb,
01-06928-16542,LX878373727IE,NO,20210419,20210419eb,
24-06937-93691,LX878373713IE,US,20210419,20210419eb,
111-3958958-7910614,LX878373639IE,CA,20210419,20210419us,
111-2644500-3481044,LX878373625IE,US,20210419,20210419us,
111-5055277-3994636,LX878373611IE,US,20210419,20210419us,
112-0982242-4627411,LX878373608IE,US,20210419,20210419us,
113-0918255-4622626,LX878373599IE,US,20210419,20210419us,
113-1568043-9509058,LX878373585IE,US,20210419,20210419us,
112-2121088-3701053,LX878373571IE,US,20210419,20210419us,
111-2718759-5737810,LX878373656IE,US,20210419,20210419us,
03-06924-43254,CA072571965IE,US,20210419,20210419eb,
27-06924-86817,LX878373687IE,SE,20210419,20210419eb,
27-06924-86817,LX878373695IE,SE,20210419,20210419eb,
02-06928-63224,LX878373700IE,US,20210419,20210419eb,
15-06920-34313,LX878373775IE,US,20210419,20210419eb,
21-06914-68060,LX878373789IE,US,20210419,20210419eb,
112-2121088-3701053,LX878373568IE,US,20210419,20210419us,
02-06928-89013,CA072571957IE,US,20210419,20210419eb,
114-2043444-4864249,LX878373554IE,US,20210419,20210419us,
01-06922-34929,CA072571974IE,US,20210419,20210419eb,
026-8090166-4902754,CP087930007IE,IE,20210419,20210419UK,
026-4210780-1294724,LX878373523IE,GB,20210419,20210419UK,
203-4760083-8543528,LX878373537IE,GB,20210419,20210419UK,
205-2010451-8655559,LX878373545IE,GB,20210419,20210419UK,
13-06921-39614,LX878373761IE,US,20210419,20210419eb,
11-06916-14028,LX878373792IE,US,20210419,20210419eb,
