Consignee_Contact_Name,Domestic_Barcode,Country_Code,DespatchDate,Batch_No,
----------------------------------------------------------------------------------------------------

112-3835242-8349827,LX878399698IE,US,20210612,20210612us,
702-7299928-9533049,LX878399517IE,CA,20210612,20210612ca,
702-8640603-4328245,LX878399503IE,CA,20210612,20210612ca,
05-07199-32416,CA072574202IE,US,20210612,20210612eb,
111-7243128-0064261,LX878399755IE,US,20210612,20210612us,
112-0881180-9049862,LX878399741IE,US,20210612,20210612us,
112-4629184-1489803,LX878399738IE,US,20210612,20210612us,
112-9691424-7311444,LX878399724IE,US,20210612,20210612us,
702-7864939-8645856,LX878399548IE,CA,20210612,20210612ca,
112-9334433-3830627,LX878399707IE,US,20210612,20210612us,
27-07194-93003,LX878399769IE,GB,20210612,20210612eb,
112-8304555-5849063,LX878399684IE,US,20210612,20210612us,
702-8640603-4328245,LX878399494IE,CA,20210612,20210612ca,
701-1688749-7314600,LX878399485IE,CA,20210612,20210612ca,
701-1247480-1613023,LX878399477IE,CA,20210612,20210612ca,
702-1238868-5391449,LX878399582IE,CA,20210612,20210612ca,
701-0894847-9323469,LX878399579IE,CA,20210612,20210612ca,
702-7809967-6097019,LX878399565IE,CA,20210612,20210612ca,
702-7864939-8645856,LX878399551IE,CA,20210612,20210612ca,
114-5192513-6535433,LX878399715IE,US,20210612,20210612us,
14-07192-63064,LX878399843IE,US,20210612,20210612eb,
114-9797794-0642616,LX878399667IE,US,20210612,20210612us,
112-9672994-1908225,LX878399653IE,US,20210612,20210612us,
114-5841391-0474624,LX878399640IE,US,20210612,20210612us,
112-4339838-7608222,CA072574193IE,US,20210612,20210612us,
206-7965340-0609135,LX878399636IE,GB,20210612,20210612uk,
026-5243308-7009953,LX878399622IE,GB,20210612,20210612uk,
407-8407370-1956350,LX878399619IE,PL,20210612,20210612uk,
404-7314748-1937134,LX878399605IE,FR,20210612,20210612uk,
702-7299928-9533049,LX878399525IE,CA,20210612,20210612ca,
14-07192-63064,LX878399857IE,US,20210612,20210612eb,
702-7864939-8645856,LX878399534IE,CA,20210612,20210612ca,
20-07191-82159,LX878399830IE,DE,20210612,20210612eb,
20-07191-82159,LX878399826IE,DE,20210612,20210612eb,
22-07192-01896,LX878399812IE,GB,20210612,20210612eb,
11-07194-97103,LX878399809IE,AU,20210612,20210612eb,
11-07194-97103,LX878399790IE,AU,20210612,20210612eb,
09-07195-51892,LX878399786IE,US,20210612,20210612eb,
26-07193-13024,LX878399772IE,US,20210612,20210612eb,
114-3382681-6065821,LX878399675IE,US,20210612,20210612us,
403-8033752-9252354,LX878399596IE,FR,20210612,20210612uk,
